id,text,clean_text,tokens,tokens_without_stopwords,stemmed_tokens
AH-y26wXgTIAH0R1YDUnfQ,Custom dns udah ilang tuh + buat game bejibun iklan bloat,custom dns udah ilang tuh buat game bejibun iklan bloat,"['custom', 'dns', 'udah', 'ilang', 'tuh', 'buat', 'game', 'bejibun', 'iklan', 'bloat']","['custom', 'dns', 'ilang', 'tuh', 'game', 'bejibun', 'iklan', 'bloat']","['custom', 'dns', 'ilang', 'tuh', 'game', 'bejibun', 'iklan', 'bloat']"
AH-y26wXgTIAH0RjGv1JlJ,😂,,[],[],[]
AH-y26wXgTIAH0ScmODa6o,Daripada ga dapet case sama charger ori bro,daripada ga dapet case sama charger ori bro,"['daripada', 'ga', 'dapet', 'case', 'sama', 'charger', 'ori', 'bro']","['dapet', 'case', 'charger', 'ori', 'bro']","['dapet', 'case', 'charger', 'ori', 'bro']"
AH-y26wXgTIAH0TONx7n2U,Padahal bisa di ilangin..😂😂😂 indo darurat baca ni..,padahal bisa di ilangin indo darurat baca ni,"['padahal', 'bisa', 'di', 'ilangin', 'indo', 'darurat', 'baca', 'ni']","['ilangin', 'indo', 'darurat', 'baca']","['ilangin', 'indo', 'darurat', 'baca']"
AH-y26wXgTIAH0Ti2x9RP7,@@taufiqafga4773 maksudnya yg hp specfikasi nya yg nanggung buat main game mas gitu 😁,taufiqafga maksudnya yg hp specfikasi nya yg nanggung buat main game mas gitu,"['taufiqafga', 'maksudnya', 'yg', 'hp', 'specfikasi', 'nya', 'yg', 'nanggung', 'buat', 'main', 'game', 'mas', 'gitu']","['taufiqafga', 'maksudnya', 'specfikasi', 'nanggung', 'main', 'game', 'mas', 'gitu']","['taufiqafga', 'maksud', 'specfikasi', 'nanggung', 'main', 'game', 'mas', 'gitu']"
AH-y26wXgTIAH0Tmt4M4Ao,Tinggal pakai Dns doang udah beresss😁,tinggal pakai dns doang udah beresss,"['tinggal', 'pakai', 'dns', 'doang', 'udah', 'beresss']","['tinggal', 'pakai', 'dns', 'doang', 'beresss']","['tinggal', 'pakai', 'dns', 'doang', 'beresss']"
AH-y26wXgTIAH0U09nkCJo,Emang lu tiap detik mau ganti tema,emang lu tiap detik mau ganti tema,"['emang', 'lu', 'tiap', 'detik', 'mau', 'ganti', 'tema']","['detik', 'ganti', 'tema']","['detik', 'ganti', 'tema']"
AH-y26wXgTIAH0UKZKolFU,15 JT 60 hz.beuhhh,jt hzbeuhhh,"['jt', 'hzbeuhhh']",['hzbeuhhh'],['hzbeuhhh']
AH-y26wXgTIAH0UQpzLZCw,Gak worth it harga nya,gak worth it harga nya,"['gak', 'worth', 'it', 'harga', 'nya']","['worth', 'harga']","['worth', 'harga']"
AH-y26wXgTIAH0UppZZzgG,Hayper bugg🗿,hayper bugg,"['hayper', 'bugg']","['hayper', 'bugg']","['hayper', 'bugg']"
AH-y26wXgTIAH0UubHcPsL,Bisa dinonaktifkan cuma lupa gimana wkwk,bisa dinonaktifkan cuma lupa gimana wkwk,"['bisa', 'dinonaktifkan', 'cuma', 'lupa', 'gimana', 'wkwk']","['dinonaktifkan', 'lupa', 'gimana']","['nonaktif', 'lupa', 'gimana']"
AH-y26wXgTIAH0VWl_vr6I,😅😂,,[],[],[]
